key,description,am (Amharic),ar (Arabic),bg (Bulgarian),bn (Bengali),bn_BD (Bengali (Bangladesh)),bs (Bosnian),ca (Catalan),cs (Czech),cy (Welsh),da (Danish),de (German),en (English),es (Spanish),es_419 (Spanish (Latin America)),et (Estonian),eu (Basque),fa (Persian),fi (Finnish),fo (Faroese),fr (French),ga (Irish),gl (Galician),ha (Hausa),he (Hebrew),hi (Hindi),hr (Croatian),hu (Hungarian),id (Indonesian),is (Icelandic),it (Italian),ja (Japanese),ko (Korean),lt (Lithuanian),lv (Latvian),mk (Macedonian),ms (Malay),mt (Maltese),nl (Dutch),no (Norwegian),pl (Polish),pt (Portuguese),pt_BR (Portuguese (Brazil)),ro (Romanian),ru (Russian),sk (Slovak),sl (Slovenian),sq (Albanian),sr (Serbian),sv (Swedish),th (Thai),tr (Turkish),uk (Ukrainian),ur (Urdu),vi (Vietnamese),zh (Chinese (Simplified)),zh_Hant (Chinese (Traditional))
about,Translation key: about,ስለ,حول,Относно,সম্পর্কে,সম্পর্কে,[BS] About,Quant a,O aplikaci,Am,Om,Über,About,Acerca de,[ES_419] About,Teave,[EU] About,درباره,[FI] About,Um,À propos,Maidir le,[GL] About,About,אודות,के बारे में,O nama,Névjegy,Tentang,Um,[IT] About,約,정보,[LT] About,[LV] About,[MK] About,Mengenai,[MT] About,Over,Om,O aplikacji,[PT] About,Sobre,Despre,О приложении,O aplikácii,O aplikaciji,[SQ] About,[SR] About,Om,เกี่ยวกับ,Hakkında,Про додаток,About,Về,关于,About
about1,Translation key: about1,,,,,,,,,,,,About,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accept,Translation key: accept,ተቀበል,قبول,Приеми,গ্রহণ করুন,গ্রহণ করুন,[BS] Accept,Accepta,Přijmout,[CY] Accept,Accepter,Akzeptieren,Accept,Aceptar,[ES_419] Accept,Nõustu,[EU] Accept,پذیرش,Hyväksy,Váttað,Accepter,Glac,[GL] Accept,Amince,קבל,स्वीकार करें,[HR] Accept,Elfogadás,Terima,Samþykkja,Accetta,承認,수락,[LT] Accept,Pieņemt,[MK] Accept,Terima,[MT] Accept,Accepteren,Godta,Akceptuj,Aceitar,Aceitar,Acceptă,Принять,Prijať,Sprejmi,[SQ] Accept,[SR] Accept,Acceptera,ยอมรับ,Kabul Et,Прийняти,قبول کریں,Chấp nhận,接受,接受
accept1,Translation key: accept1,,,,,,,,,,,,Accept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accessRevokedSuccessfully,Translation key: accessRevokedSuccessfully,መዳረሻ በትክክል ተሰርዟል,تم سحب الوصول بنجاح,Достъпът беше отменен успешно,অ্যাক্সেস সফলভাবে বাতিল হয়েছে!,অ্যাক্সেস সফলভাবে প্রত্যাহার করা হয়েছে,[BS] Access revoked successfully,[CA] Access revoked successfully,Přístup úspěšně odvolán,Mynediad wedi ei ganslo'n llwyddiannus,Adgang tilbagekaldt med succes,Zugriff erfolgreich widerrufen,Access revoked successfully,Acceso revocado exitosamente,[ES_419] Access revoked successfully,[ET] Access revoked successfully,[EU] Access revoked successfully,دسترسی با موفقیت لغو شد!,[FI] Access revoked successfully,Access revoked successfully,Accès révoqué avec succès,[GA] Access revoked successfully,[GL] Access revoked successfully,An cire izini cikin nasara!,הגישה בוטלה בהצלחה,पहुंच सफलतापूर्वक रद्द की गई!,[HR] Access revoked successfully,[HU] Access revoked successfully,[ID] Access revoked successfully,Aðgangur afturkallaður með góðum árangri,[IT] Access revoked successfully,アクセスが正常に取り消されました,접근이 성공적으로 취소되었습니다,[LT] Access revoked successfully,[LV] Access revoked successfully,[MK] Access revoked successfully,[MS] Access revoked successfully,[MT] Access revoked successfully,[NL] Access revoked successfully,Tilgang tilbakekalt vellykket,[PL] Access revoked successfully,[PT] Access revoked successfully,Acesso revogado com sucesso,[RO] Access revoked successfully,Доступ успешно отозван,Prístup úspešne odvolaný,[SL] Access revoked successfully,[SQ] Access revoked successfully,[SR] Access revoked successfully,Åtkomst återkallad framgångsrikt,เพิกถอนสิทธิ์สำเร็จ,Erişim başarıyla iptal edildi,Доступ успішно скасовано,رسائی کامیابی سے منسوخ ہو گئی!,Thu hồi quyền truy cập thành công,访问撤销成功,存取權已撤銷成功！
activateBusinessProfile,Translation key: activateBusinessProfile,,,,,,,,,,,,Activate Business Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activityLogaction,Translation key: activityLogaction,,,,,,,,,,,,Activity: {log_action},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,Translation key: add,ያክሉ,إضافة,Добави,যোগ করুন,যোগ করুন,[BS] Add,Afegeix,[CS] Add,Ychwanegu,Tilføj,Hinzufügen,Add,Agregar,[ES_419] Add,Lisa,Gehitu,افزودن,Lisää,Add,Ajouter,Cuir leis,[GL] Add,Add,הוסף,जोड़ें,Dodaj,Hozzáadás,Tambah,Bæta við,[IT] Add,追加,[KO] Add,[LT] Add,[LV] Add,[MK] Add,Tambah,[MT] Add,[NL] Add,Legg til,Dodaj,[PT] Add,[PT_BR] Add,Adaugă,Добавить,Pridať,Dodaj,[SQ] Add,[SR] Add,Lägg till,เพิ่ม,Ekle,Додати,Add,Thêm,添加,Add
add1,Translation key: add1,,,,,,,,,,,,Add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addAvailability,Translation key: addAvailability,,,,,,,,,,,,Add Availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addNewClient,Translation key: addNewClient,,,,,,,,,,,,Add New Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addNewRoom,Translation key: addNewRoom,,,,,,,,,,,,Add New Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addProvider,Translation key: addProvider,,,,,,,,,,,,Add Provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addQuestion,Translation key: addQuestion,,,,,,,,,,,,Add Question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,Translation key: admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Administrator,Admin,Administrador,Admin,Admin,Admin,ادمین,Admin,Admin,Administrateur,Admin,Admin,Mai kulawa,Admin,व्यवस्थापक,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,Admin,ایڈمن,Admin,Admin,管理員
adminBroadcast,Translation key: adminBroadcast,የአስተዳደር ስርጭት,بث الإدارة,Административно излъчване,অ্যাডমিন সম্প্রচার,প্রশাসক সম্প্রচার,[BS] Admin Broadcast,[CA] Admin Broadcast,Správcovské vysílání,[CY] Admin Broadcast,[DA] Admin Broadcast,Admin-Rundsendung,Admin Broadcast,Difusión de administrador,[ES_419] Admin Broadcast,[ET] Admin Broadcast,[EU] Admin Broadcast,پخش ادمین,Järjestelmän lähetys,Admin Broadcast,Diffusion administrateur,Craoladh riarthóra,[GL] Admin Broadcast,Faɗaɗa mai kulawa,שידור מנהל,व्यवस्थापक प्रसारण,[HR] Admin Broadcast,[HU] Admin Broadcast,[ID] Admin Broadcast,[IS] Admin Broadcast,[IT] Admin Broadcast,管理者ブロードキャスト,관리자 브로드캐스트,[LT] Admin Broadcast,[LV] Admin Broadcast,[MK] Admin Broadcast,Siarkan pentadbir,[MT] Admin Broadcast,[NL] Admin Broadcast,[NO] Admin Broadcast,[PL] Admin Broadcast,[PT] Admin Broadcast,[PT_BR] Admin Broadcast,[RO] Admin Broadcast,Вещание администратора,[SK] Admin Broadcast,Oddaja skrbnika,[SQ] Admin Broadcast,[SR] Admin Broadcast,[SV] Admin Broadcast,ออกอากาศผู้ดูแลระบบ,Yönetici yayın,Трансляція адміністратора,ایڈمن نشریات,Phát sóng quản trị,管理员广播,管理員廣播
adminDashboard,Translation key: adminDashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin-Dashboard,Admin Dashboard,Panel de administrador,Admin Dashboard,Admin Dashboard,Admin Dashboard,داشبورد ادمین,Admin Dashboard,Admin Dashboard,Tableau de bord administrateur,Admin Dashboard,Admin Dashboard,Dashboard mai kulawa,Admin Dashboard,व्यवस्थापक डैशबोर्ड,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,Admin Dashboard,ایڈمن ڈیش بورڈ,Admin Dashboard,Admin Dashboard,管理員儀表板
adminFreeAccess,Translation key: adminFreeAccess,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin-Freizugang,Admin Free Access,Acceso libre de administrador,Admin Free Access,Admin Free Access,Admin Free Access,دسترسی رایگان ادمین,Admin Free Access,Admin Free Access,Accès libre administrateur,Admin Free Access,Admin Free Access,Shiga kyauta mai kulawa,Admin Free Access,व्यवस्थापक मुफ्त पहुंच,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,Admin Free Access,ایڈمن مفت رسائی,Admin Free Access,Admin Free Access,管理員免費存取
